symbol,base_asset,quote_asset
1000000MOGUSDT,1000000MOG,USDT
1000BONKUSDT,1000BONK,USDT
1000CATUSDT,1000CAT,USDT
1000FLOKIUSDT,1000FLOKI,USDT
1000LUNCUSDT,1000LUNC,USDT
1000PEPEUSDT,1000PEPE,USDT
1000RATSUSDT,1000RATS,USDT
1000SATSUSDT,1000SATS,USDT
1000SHIBUSDT,1000SHIB,USDT
1000XECUSDT,1000XEC,USDT
1000XUSDT,1000X,USDT
1INCHUSDT,1INCH,USDT
1MBABYDOGEUSDT,1MBABYDOGE,USDT
AAVEUSDT,AAVE,USDT
ACEUSDT,ACE,USDT
ACHUSDT,ACH,USDT
ACTUSDT,ACT,USDT
ADAUSDT,ADA,USDT
AERGOUSDT,AERGO,USDT
AEVOUSDT,AEVO,USDT
AGLDUSDT,AGLD,USDT
AIUSDT,AI,USDT
AKTUSDT,AKT,USDT
ALGOUSDT,ALGO,USDT
ALICEUSDT,ALICE,USDT
ALPACAUSDT,ALPACA,USDT
ALPHAUSDT,ALPHA,USDT
ALTUSDT,ALT,USDT
AMBUSDT,AMB,USDT
ANKRUSDT,ANKR,USDT
APEUSDT,APE,USDT
API3USDT,API3,USDT
APTUSDT,APT,USDT
ARBUSDT,ARB,USDT
ARKMUSDT,ARKM,USDT
ARKUSDT,ARK,USDT
ARPAUSDT,ARPA,USDT
ARUSDT,AR,USDT
ASTRUSDT,ASTR,USDT
ATAUSDT,ATA,USDT
ATOMUSDT,ATOM,USDT
AUCTIONUSDT,AUCTION,USDT
AVAXUSDT,AVAX,USDT
AXLUSDT,AXL,USDT
AXSUSDT,AXS,USDT
BADGERUSDT,BADGER,USDT
BAKEUSDT,BAKE,USDT
BALUSDT,BAL,USDT
BANANAUSDT,BANANA,USDT
BANDUSDT,BAND,USDT
BANUSDT,BAN,USDT
BATUSDT,BAT,USDT
BBUSDT,BB,USDT
BCHUSDT,BCH,USDT
BEAMXUSDT,BEAMX,USDT
BELUSDT,BEL,USDT
BICOUSDT,BICO,USDT
BIGTIMEUSDT,BIGTIME,USDT
BLURUSDT,BLUR,USDT
BNBUSDT,BNB,USDT
BNTUSDT,BNT,USDT
BNXUSDT,BNX,USDT
BOMEUSDT,BOME,USDT
BONDUSDT,BOND,USDT
BRETTUSDT,BRETT,USDT
BSVUSDT,BSV,USDT
BSWUSDT,BSW,USDT
BTCDOMUSDT,BTCDOM,USDT
BTCUSDT,BTC,USDT
BTCUSDT_241227,BTC,USDT
BTCUSDT_250328,BTC,USDT
C98USDT,C98,USDT
CAKEUSDT,CAKE,USDT
CATIUSDT,CATI,USDT
CELOUSDT,CELO,USDT
CELRUSDT,CELR,USDT
CETUSUSDT,CETUS,USDT
CFXUSDT,CFX,USDT
CHESSUSDT,CHESS,USDT
CHRUSDT,CHR,USDT
CHZUSDT,CHZ,USDT
CKBUSDT,CKB,USDT
COMBOUSDT,COMBO,USDT
COMPUSDT,COMP,USDT
COSUSDT,COS,USDT
COTIUSDT,COTI,USDT
COWUSDT,COW,USDT
CRVUSDT,CRV,USDT
CTSIUSDT,CTSI,USDT
CYBERUSDT,CYBER,USDT
DARUSDT,DAR,USDT
DASHUSDT,DASH,USDT
DEFIUSDT,DEFI,USDT
DEGENUSDT,DEGEN,USDT
DENTUSDT,DENT,USDT
DIAUSDT,DIA,USDT
DODOXUSDT,DODOX,USDT
DOGEUSDT,DOGE,USDT
DOGSUSDT,DOGS,USDT
DOTUSDT,DOT,USDT
DRIFTUSDT,DRIFT,USDT
DUSKUSDT,DUSK,USDT
DYDXUSDT,DYDX,USDT
DYMUSDT,DYM,USDT
EDUUSDT,EDU,USDT
EGLDUSDT,EGLD,USDT
EIGENUSDT,EIGEN,USDT
ENAUSDT,ENA,USDT
ENJUSDT,ENJ,USDT
ENSUSDT,ENS,USDT
EOSUSDT,EOS,USDT
ETCUSDT,ETC,USDT
ETHFIUSDT,ETHFI,USDT
ETHUSDT,ETH,USDT
ETHUSDT_241227,ETH,USDT
ETHUSDT_250328,ETH,USDT
ETHWUSDT,ETHW,USDT
FETUSDT,FET,USDT
FIDAUSDT,FIDA,USDT
FILUSDT,FIL,USDT
FIOUSDT,FIO,USDT
FLMUSDT,FLM,USDT
FLOWUSDT,FLOW,USDT
FLUXUSDT,FLUX,USDT
FTMUSDT,FTM,USDT
FXSUSDT,FXS,USDT
GALAUSDT,GALA,USDT
GASUSDT,GAS,USDT
GHSTUSDT,GHST,USDT
GLMUSDT,GLM,USDT
GMTUSDT,GMT,USDT
GMXUSDT,GMX,USDT
GOATUSDT,GOAT,USDT
GRASSUSDT,GRASS,USDT
GRTUSDT,GRT,USDT
GTCUSDT,GTC,USDT
GUSDT,G,USDT
